City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
1,Kapaa,US,81.1,22.0752,-159.319,broken clouds,Sheraton Kauai Coconut Beach Resort
5,Atuona,PF,77.97,-9.8,-139.0333,scattered clouds,Villa Enata
7,Jatai,BR,71.71,-17.8814,-51.7144,broken clouds,Hotel Califórnia
8,Oistins,BB,82.49,13.0667,-59.5333,scattered clouds,Butterfly Beach Hotel
13,Butaritari,KI,80.24,3.0707,172.7902,broken clouds,Isles Sunset Lodge
16,Vaini,TO,82.56,-21.2,-175.2,scattered clouds,Keleti Beach Resort
20,Carnarvon,AU,77.56,-24.8667,113.6333,clear sky,Hospitality Carnarvon
23,Avarua,CK,78.85,-21.2078,-159.775,scattered clouds,Paradise Inn
25,Alugan,PH,81.97,12.2188,125.4808,overcast clouds,JM Lodge
28,Makakilo City,US,82.72,21.3469,-158.0858,few clouds,Marriott's Ko Olina Beach Club
29,Bambous Virieux,MU,71.85,-20.3428,57.7575,broken clouds,Casa Tia Villa
45,Hithadhoo,MV,81.88,-0.6,73.0833,overcast clouds,Scoop Guest House
47,Iquitos,PE,77.04,-3.7481,-73.2472,broken clouds,Cortez Malaga Techy Caroly
50,Arraial Do Cabo,BR,78.76,-22.9661,-42.0278,thunderstorm with rain,Pousada Porto Praia
52,Los Llanos De Aridane,ES,70.12,28.6585,-17.9182,clear sky,Valle Aridane
54,Rawson,AR,72.32,-43.3002,-65.1023,scattered clouds,Hosteria Sampedro
57,Puerto Ayora,EC,70.56,-0.7393,-90.3518,scattered clouds,Finch Bay Galapagos Hotel
59,The Valley,AI,81.1,18.217,-63.0578,few clouds,CeBlue Villas & Beach Resort
60,Ambilobe,MG,72.1,-13.2,49.05,scattered clouds,Hôtel & Restaurant DIANA Ambilobe
61,Alofi,NU,76.89,-19.0595,-169.9187,light intensity drizzle,Taloa Heights
64,Cabo San Lucas,MX,81.7,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
78,Rikitea,PF,74.89,-23.1203,-134.9692,light rain,People ThankYou
