City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,-10.5,97,100,13.94,overcast clouds
1,Kapaa,US,22.0752,-159.319,81.1,71,75,17.27,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,59.11,55,40,8.05,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,56.82,76,0,3.44,clear sky
4,Bluff,NZ,-46.6,168.3333,62.8,59,76,11.9,light rain
5,Atuona,PF,-9.8,-139.0333,77.97,75,27,17.49,scattered clouds
6,Saint George,US,37.1041,-113.5841,54.19,32,0,3.44,clear sky
7,Jatai,BR,-17.8814,-51.7144,71.71,77,75,1.12,broken clouds
8,Oistins,BB,13.0667,-59.5333,82.49,78,40,24.16,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,63.27,69,0,1.99,clear sky
10,Jamestown,US,42.097,-79.2353,35.19,65,100,3.44,overcast clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,100,17.27,light snow
12,Upernavik,GL,72.7868,-56.1549,23.27,86,100,19.28,overcast clouds
13,Butaritari,KI,3.0707,172.7902,80.24,81,66,10.27,broken clouds
14,Portland,US,45.5234,-122.6762,56.28,54,20,20.71,few clouds
15,Kimbe,PG,-5.5502,150.1429,88.25,59,43,2.84,scattered clouds
16,Vaini,TO,-21.2,-175.2,82.56,78,40,8.05,scattered clouds
17,Tasiilaq,GL,65.6145,-37.6368,33.96,96,100,5.68,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,69.39,44,46,4.52,scattered clouds
19,Bethel,US,41.3712,-73.414,39.49,64,0,5.99,clear sky
20,Carnarvon,AU,-24.8667,113.6333,77.56,37,0,14.83,clear sky
21,Kenora,CA,49.8167,-94.4337,22.17,93,100,8.05,overcast clouds
22,Castro,BR,-24.7911,-50.0119,64.51,92,98,4.88,overcast clouds
23,Avarua,CK,-21.2078,-159.775,78.85,57,50,14.97,scattered clouds
24,Lasa,IT,46.6166,10.7002,41.88,85,34,0.16,scattered clouds
25,Alugan,PH,12.2188,125.4808,81.97,85,100,12.93,overcast clouds
26,College,US,64.8569,-147.8028,29.07,91,100,5.75,light snow
27,Cherskiy,RU,68.75,161.3,-26.14,100,96,4.21,overcast clouds
28,Makakilo City,US,21.3469,-158.0858,82.72,54,20,14.97,few clouds
29,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,75,9.22,broken clouds
30,Kvarkeno,RU,52.0833,59.725,26.58,95,100,9.35,light snow
31,Aklavik,CA,68.2191,-135.0107,16.68,90,100,21.0,light snow
32,Busselton,AU,-33.65,115.3333,61.29,57,0,11.56,clear sky
33,Chokurdakh,RU,70.6333,147.9167,-16.29,99,100,10.11,overcast clouds
34,Saint-Philippe,RE,-21.3585,55.7679,69.39,63,62,13.91,broken clouds
35,Vostok,RU,46.4856,135.8833,20.21,70,57,2.06,broken clouds
36,Lompoc,US,34.6391,-120.4579,68.68,62,0,11.5,clear sky
37,Zhigansk,RU,66.7697,123.3711,-33.0,100,49,1.32,scattered clouds
38,Verkhnyaya Inta,RU,65.9811,60.3094,-3.87,88,99,4.7,overcast clouds
39,Chuy,UY,-33.6971,-53.4616,61.63,97,97,9.28,overcast clouds
40,Clyde River,CA,70.4692,-68.5914,-1.97,78,0,19.57,clear sky
41,Lewistown,US,40.5992,-77.5714,39.87,86,0,0.0,clear sky
42,Berlevag,NO,70.8578,29.0864,39.2,81,100,29.93,overcast clouds
43,Klaksvik,FO,62.2266,-6.589,49.12,88,100,32.41,light rain
44,Milton,US,34.1322,-84.3007,48.29,60,95,3.0,overcast clouds
45,Hithadhoo,MV,-0.6,73.0833,81.88,74,100,15.97,overcast clouds
46,Hermanus,ZA,-34.4187,19.2345,56.8,72,91,7.14,overcast clouds
47,Iquitos,PE,-3.7481,-73.2472,77.04,88,75,2.3,broken clouds
48,Roald,NO,62.5833,6.1333,56.34,76,100,14.97,overcast clouds
49,Tuatapere,NZ,-46.1333,167.6833,66.96,50,100,6.87,light rain
50,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,94,40,16.11,thunderstorm with rain
51,Oranjemund,NA,-28.55,16.4333,59.99,93,39,3.13,scattered clouds
52,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,35,0,10.0,clear sky
53,Haines Junction,CA,60.7522,-137.5108,37.35,87,94,2.3,overcast clouds
54,Rawson,AR,-43.3002,-65.1023,72.32,37,27,2.95,scattered clouds
55,Marienburg,PL,54.0359,19.0266,46.85,90,95,6.55,overcast clouds
56,Adamovka,RU,51.5223,59.9396,26.06,93,100,13.8,light snow
57,Puerto Ayora,EC,-0.7393,-90.3518,70.56,85,44,5.01,scattered clouds
58,Nikolskoye,RU,59.7035,30.7861,33.8,98,100,6.11,light snow
59,The Valley,AI,18.217,-63.0578,81.1,89,20,10.36,few clouds
60,Ambilobe,MG,-13.2,49.05,72.1,86,31,3.65,scattered clouds
61,Alofi,NU,-19.0595,-169.9187,76.89,22,100,9.22,light intensity drizzle
62,Hualmay,PE,-11.0964,-77.6139,64.35,83,24,7.92,few clouds
63,Half Moon Bay,US,37.4636,-122.4286,63.79,51,0,0.0,clear sky
64,Cabo San Lucas,MX,22.8909,-109.9124,81.7,60,0,16.11,clear sky
65,Nanortalik,GL,60.1432,-45.2371,31.06,91,99,10.38,overcast clouds
66,Nur,PL,52.6683,22.3221,41.0,93,94,6.29,overcast clouds
67,Port-Cartier,CA,50.0334,-66.8654,26.74,88,91,6.87,overcast clouds
68,Bredasdorp,ZA,-34.5322,20.0403,61.14,70,100,5.64,overcast clouds
69,Saldanha,ZA,-33.0117,17.9442,60.85,86,69,7.27,broken clouds
70,Alausi,EC,-2.2,-78.8333,50.65,90,67,2.28,broken clouds
71,Vardo,NO,70.3705,31.1107,31.98,86,40,10.36,scattered clouds
72,Port-De-Bouc,FR,43.4,4.9833,59.22,88,0,18.41,clear sky
73,Qaanaaq,GL,77.484,-69.3632,-3.96,73,5,5.7,clear sky
74,Altamont,US,42.2068,-121.7372,44.78,56,0,6.91,clear sky
75,Dikson,RU,73.5069,80.5464,2.75,95,100,21.77,light snow
76,Buraydah,SA,26.326,43.975,68.45,29,5,9.6,clear sky
77,Lardos,GR,36.0942,28.0157,62.42,67,87,5.44,overcast clouds
78,Rikitea,PF,-23.1203,-134.9692,74.89,81,100,13.49,light rain
79,Ust-Ishim,RU,57.6935,71.1665,30.49,96,100,6.44,overcast clouds
80,Lebu,CL,-37.6167,-73.65,55.89,92,68,2.86,broken clouds
81,Anadyr,RU,64.75,177.4833,28.9,80,0,13.42,clear sky
82,Banda Aceh,ID,5.5577,95.3222,77.81,82,100,6.91,light rain
83,Kapfenberg,AT,47.454,15.2702,50.54,89,100,0.98,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,59.09,98,100,18.01,light intensity drizzle
85,Sitka,US,57.0531,-135.33,46.29,76,100,17.27,moderate rain
86,Batsfjord,NO,70.6345,29.7185,39.13,91,99,28.19,light rain
87,Sept-Iles,CA,50.2001,-66.3821,27.05,81,75,11.5,broken clouds
88,Mishan,CN,45.55,131.8833,24.71,66,91,3.06,overcast clouds
89,Arlit,NE,18.7369,7.3853,68.31,18,4,7.25,clear sky
90,New Norfolk,AU,-42.7826,147.0587,47.7,84,100,3.0,light rain
91,Hilo,US,19.7297,-155.09,76.24,83,100,14.97,overcast clouds
92,Katsuura,JP,35.1333,140.3,53.62,86,100,15.9,light rain
93,Volga,RU,57.9516,38.3879,27.91,73,27,5.21,scattered clouds
94,Meridian,US,43.6121,-116.3915,39.15,63,0,4.61,clear sky
95,Tautira,PF,-17.7333,-149.15,77.88,80,82,5.93,light rain
96,Tiksi,RU,71.6872,128.8694,-10.86,91,100,13.06,overcast clouds
97,Pemberton,CA,50.3164,-122.8027,46.09,80,7,0.56,clear sky
98,Walvis Bay,NA,-22.9575,14.5053,61.75,82,0,3.44,clear sky
99,Souillac,MU,-20.5167,57.5167,71.98,64,75,9.22,broken clouds
100,Santiago De Las Vegas,CU,22.97,-82.3869,78.42,78,40,11.5,scattered clouds
101,Canchungo,GW,12.0672,-16.0333,77.13,71,58,5.5,broken clouds
102,Rocha,UY,-34.4833,-54.3333,61.95,93,99,13.38,overcast clouds
103,Plouzane,FR,48.3833,-4.6167,55.45,100,100,21.85,light rain
104,Xining,CN,36.6167,101.7667,32.5,61,84,2.48,broken clouds
105,Mahanoro,MG,-19.9,48.8,72.66,83,100,4.0,overcast clouds
106,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,64,75,24.61,broken clouds
107,Florianopolis,BR,-27.6146,-48.5012,72.63,85,75,4.61,light rain
108,Barrow,US,71.2906,-156.7887,10.42,79,100,18.41,overcast clouds
109,Saskylakh,RU,71.9167,114.0833,-19.39,95,96,5.86,overcast clouds
110,Pepel,SL,8.5817,-13.0628,77.25,88,47,3.65,light rain
111,Provideniya,RU,64.3833,-173.3,30.36,55,100,15.99,overcast clouds
112,Sinnamary,GF,5.3833,-52.95,79.18,86,24,11.72,few clouds
113,Gravdal,NO,68.1214,13.5031,40.87,72,6,9.42,clear sky
114,Norman Wells,CA,65.282,-126.8329,15.84,86,75,8.05,broken clouds
115,Puerto Escondido,MX,15.85,-97.0667,86.83,51,40,3.44,scattered clouds
116,Hobart,AU,-42.8794,147.3294,48.06,92,100,19.57,moderate rain
117,Hibbing,US,47.4272,-92.9377,24.4,61,100,5.75,mist
118,Albany,US,42.6001,-73.9662,34.63,59,8,3.0,clear sky
119,Dokri,PK,27.3743,68.0967,66.11,49,0,5.48,clear sky
120,Kruisfontein,ZA,-34.0033,24.7314,62.89,72,85,7.2,overcast clouds
121,Leningradskiy,RU,69.3833,178.4167,-2.43,95,73,4.59,broken clouds
122,Ponta Do Sol,PT,32.6667,-17.1,70.0,71,100,1.16,overcast clouds
123,Pisco,PE,-13.7,-76.2167,66.25,82,100,5.75,overcast clouds
124,Cidreira,BR,-30.1811,-50.2056,68.65,71,17,7.18,few clouds
125,Bubaque,GW,11.2833,-15.8333,83.46,70,75,14.36,broken clouds
126,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,28.74,86,35,10.33,scattered clouds
127,Camacha,PT,33.0833,-16.3333,63.82,88,20,4.61,few clouds
128,Lorengau,PG,-2.0226,147.2712,84.92,69,98,7.23,overcast clouds
129,Alice Springs,AU,-23.7,133.8833,71.15,33,5,14.97,clear sky
130,Huai Yot,TH,7.7893,99.6348,74.82,96,100,3.4,light rain
131,Margate,GB,51.3813,1.3862,52.9,90,49,5.99,scattered clouds
132,Yeniseysk,RU,58.4497,92.1703,27.25,96,100,9.37,snow
133,Kidodi,TZ,-7.6036,37.0044,70.74,78,11,4.52,few clouds
134,Hami,CN,42.8,93.45,32.81,49,100,1.19,overcast clouds
135,Kouroussa,GN,10.65,-9.8833,74.71,71,84,3.29,light rain
136,Valle Hermoso,MX,25.6667,-97.8333,80.49,75,36,10.63,scattered clouds
137,San Patricio,US,28.017,-97.5169,66.07,86,97,14.0,overcast clouds
138,Chernyshevskiy,RU,63.0128,112.4714,-30.71,100,11,1.3,few clouds
139,Kahului,US,20.8947,-156.47,86.02,62,40,20.71,scattered clouds
140,Severo-Kurilsk,RU,50.6789,156.125,34.21,94,98,23.44,light snow
141,Sobolevo,RU,54.4299,31.8996,30.99,82,56,5.26,broken clouds
142,Lavrentiya,RU,65.5833,-171.0,20.93,82,73,7.67,broken clouds
143,Guadalajara,MX,20.6667,-103.3333,76.77,41,100,11.5,overcast clouds
144,Omsukchan,RU,62.5333,155.8,-7.01,79,24,3.96,few clouds
145,Tafresh,IR,34.692,50.013,41.16,45,0,6.17,clear sky
146,Segezha,RU,63.7415,34.3222,32.65,96,100,5.08,overcast clouds
147,Valparai,IN,10.3667,76.9667,61.66,91,99,3.42,overcast clouds
148,Chalmette,US,29.9427,-89.9634,64.4,73,100,18.41,overcast clouds
149,Ancud,CL,-41.8697,-73.8203,54.1,98,99,13.94,light rain
150,Kaitangata,NZ,-46.2817,169.8464,68.18,55,91,5.86,overcast clouds
151,Yellowknife,CA,62.456,-114.3525,25.32,93,100,11.5,overcast clouds
152,Sorong,ID,-0.8833,131.25,81.55,81,89,5.37,overcast clouds
153,Bac Lieu,VN,9.285,105.7244,80.46,83,100,14.14,overcast clouds
154,Paamiut,GL,61.994,-49.6678,27.79,87,98,12.57,overcast clouds
155,Kavaratti,IN,10.5669,72.642,79.41,80,88,7.9,light rain
156,Cabedelo,BR,-6.9811,-34.8339,79.47,76,17,11.68,few clouds
157,Quatre Cocos,MU,-20.2078,57.7625,71.71,63,76,15.73,broken clouds
158,Luorong,CN,24.4058,109.6086,62.96,60,100,5.61,overcast clouds
159,Umm Lajj,SA,25.0213,37.2685,77.65,58,32,5.28,scattered clouds
160,Pemangkat,ID,1.1667,108.9667,78.48,84,99,3.29,overcast clouds
161,Nemuro,JP,43.3236,145.575,40.19,66,65,8.61,broken clouds
162,Inyonga,TZ,-6.7167,32.0667,67.17,85,83,2.06,moderate rain
163,Shyryayeve,UA,47.3805,30.1964,40.26,75,100,4.68,overcast clouds
164,La Ronge,CA,55.1001,-105.2842,23.25,80,100,2.3,light snow
165,Ilulissat,GL,69.2167,-51.1,28.42,80,75,12.66,broken clouds
166,Narsaq,GL,60.9167,-46.05,39.42,81,99,4.85,overcast clouds
167,Kazerun,IR,29.6195,51.6541,61.07,41,0,2.24,clear sky
168,Torres,BR,-29.3353,-49.7269,74.82,79,48,5.23,scattered clouds
169,Lyubinskiy,RU,55.1542,72.6925,35.28,99,100,9.04,light snow
170,Canavieiras,BR,-15.675,-38.9472,76.68,89,64,9.1,broken clouds
171,Bilibino,RU,68.0546,166.4372,-17.03,100,81,3.27,broken clouds
172,Gushi,CN,34.6425,109.5843,48.76,47,91,1.86,overcast clouds
173,Ostrovnoy,RU,68.0531,39.5131,28.17,92,97,3.89,overcast clouds
174,Brae,GB,60.3964,-1.353,51.48,84,100,28.19,overcast clouds
175,Wenatchee,US,47.4235,-120.3103,43.66,74,0,5.75,clear sky
176,Gat,IL,31.61,34.7642,67.41,100,12,2.75,few clouds
177,Ribeira Grande,PT,38.5167,-28.7,63.77,83,72,8.99,broken clouds
178,Nyzhni Sirohozy,UA,46.8484,34.3804,36.57,80,15,6.58,few clouds
179,Georgetown,MY,5.4112,100.3354,76.95,95,40,5.99,moderate rain
180,Ust-Tsilma,RU,65.441,52.1498,-1.34,99,88,3.56,overcast clouds
181,Sao Filipe,CV,14.8961,-24.4956,75.65,74,71,11.14,broken clouds
182,Abha,SA,18.2164,42.5053,55.22,94,14,0.0,few clouds
183,Kodiak,US,57.79,-152.4072,33.31,86,0,4.61,clear sky
184,Beringovskiy,RU,63.05,179.3167,30.51,81,20,14.47,few clouds
185,Adrar,MR,20.5022,-10.0711,76.39,23,89,7.9,overcast clouds
186,Deputatskiy,RU,69.3,139.9,-27.31,97,93,5.61,overcast clouds
187,Iqaluit,CA,63.7506,-68.5145,10.13,85,75,4.61,light snow
188,Innisfail,AU,-17.5333,146.0333,83.98,60,97,5.41,overcast clouds
189,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,80,100,10.36,overcast clouds
190,Tres Lagoas,BR,-20.7511,-51.6783,77.11,62,92,5.64,overcast clouds
191,Lazaro Cardenas,MX,17.9583,-102.2,79.47,79,100,7.11,overcast clouds
192,Caravelas,BR,-17.7125,-39.2481,76.53,88,31,11.32,scattered clouds
193,Bullhead City,US,35.1478,-114.5683,65.62,24,0,18.41,clear sky
194,Labuhan,ID,-6.8844,112.2051,81.16,77,100,3.56,overcast clouds
195,Camargo,MX,27.6667,-105.1667,65.59,29,59,8.75,broken clouds
196,Ahuimanu,US,21.4447,-157.8378,83.91,63,40,14.97,scattered clouds
197,Itarema,BR,-2.9248,-39.9167,79.57,78,53,14.36,broken clouds
198,Sur,OM,22.5667,59.5289,78.01,58,0,7.99,clear sky
199,Gravelbourg,CA,49.8834,-106.5512,21.47,96,100,5.08,snow
200,Prince Rupert,CA,54.3161,-130.3201,42.49,87,40,3.44,scattered clouds
201,Vao,NC,-22.6667,167.4833,74.57,75,40,5.53,scattered clouds
202,Vestmanna,FO,62.1564,-7.1664,47.32,93,100,29.93,overcast clouds
203,Bairiki,KI,1.3292,172.9752,86.0,74,40,11.5,scattered clouds
204,Lulea,SE,65.5842,22.1547,24.87,100,11,9.22,few clouds
205,Kupang,ID,-10.1667,123.5833,84.85,68,55,2.17,broken clouds
206,Luau,AO,-10.7073,22.2247,62.46,96,85,2.15,overcast clouds
207,Belaya Gora,RU,68.5333,146.4167,-29.4,99,80,4.21,broken clouds
208,Mogadishu,SO,2.0371,45.3438,78.55,80,7,9.04,clear sky
209,Broken Hill,AU,-31.95,141.4333,57.54,54,59,12.19,broken clouds
210,Aden,YE,12.7794,45.0367,78.62,74,0,10.4,clear sky
211,Verkhnevilyuysk,RU,63.4453,120.3167,-30.48,100,83,3.2,broken clouds
212,Gornopravdinsk,RU,60.05,69.9,16.79,93,100,9.95,light snow
213,Sao Miguel,BR,-5.4667,-35.3667,79.57,78,21,14.74,few clouds
214,Homer,US,59.6425,-151.5483,42.76,73,0,5.75,clear sky
215,Mayumba,GA,-3.432,10.6554,76.17,83,52,7.54,broken clouds
216,Kavieng,PG,-2.5744,150.7967,85.17,68,99,11.88,overcast clouds
217,Port Alfred,ZA,-33.5906,26.891,65.17,83,84,3.0,broken clouds
218,Esperance,AU,-33.8667,121.9,59.47,67,61,12.21,broken clouds
219,Mahebourg,MU,-20.4081,57.7,71.89,64,75,9.22,broken clouds
220,Codrington,AU,-38.2667,141.9667,50.09,71,99,16.89,overcast clouds
221,Nyimba,ZM,-14.5566,30.8149,69.64,84,71,2.77,broken clouds
222,Awjilah,LY,29.1081,21.2869,60.84,39,0,6.17,clear sky
223,Egvekinot,RU,66.3167,-179.1667,10.56,98,100,1.81,overcast clouds
224,Northam,GB,51.0333,-4.2167,53.38,91,98,27.49,moderate rain
225,Sao Francisco De Paula,BR,-29.4481,-50.5836,55.92,82,12,3.91,few clouds
226,Pevek,RU,69.7008,170.3133,-8.55,100,100,2.19,overcast clouds
227,Port Lincoln,AU,-34.7333,135.8667,55.65,52,99,10.13,overcast clouds
228,Luanda,AO,-8.8368,13.2343,75.2,78,20,9.22,few clouds
229,Mount Gambier,AU,-37.8333,140.7667,51.37,64,91,11.34,overcast clouds
230,Thompson,CA,55.7435,-97.8558,8.76,92,20,0.0,few clouds
231,Longyearbyen,SJ,78.2186,15.6401,28.24,74,40,29.93,scattered clouds
232,Bengkulu,ID,-3.8004,102.2655,75.13,89,100,5.37,overcast clouds
233,Saint-Joseph,RE,-21.3667,55.6167,68.38,63,32,14.5,scattered clouds
234,Tual,ID,-5.6667,132.75,83.86,73,97,5.53,overcast clouds
235,Nabire,ID,-3.3667,135.4833,83.59,67,90,0.96,overcast clouds
236,Tazovskiy,RU,67.4667,78.7,-18.42,91,21,5.82,few clouds
237,Pagegiai,LT,55.1381,21.9089,38.97,96,25,5.55,scattered clouds
238,Key West,US,24.5557,-81.7826,86.0,74,0,13.8,clear sky
239,Bannu,PK,32.9854,70.6027,57.99,61,0,4.25,clear sky
240,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,90,99,25.05,moderate rain
241,Yanam,IN,16.7333,82.2167,69.6,84,43,3.6,scattered clouds
242,Naze,JP,28.3667,129.4833,67.12,71,79,11.68,broken clouds
243,Santander,ES,43.4647,-3.8044,63.72,52,0,14.97,clear sky
244,Heidelberg,ZA,-26.5048,28.3592,60.94,88,35,7.85,scattered clouds
245,Ahipara,NZ,-35.1667,173.1667,66.72,73,23,10.31,few clouds
246,Chara,RU,56.9064,118.2631,3.13,98,100,1.7,overcast clouds
247,Esfahan,IR,32.6572,51.6776,35.24,43,0,3.78,clear sky
248,Progreso,MX,21.2833,-89.6667,86.11,78,6,13.98,clear sky
249,Broome,US,42.2506,-75.833,34.61,69,100,6.91,overcast clouds
250,Alberdi,AR,-32.8899,-60.6906,75.22,33,0,11.5,clear sky
251,Arrecife,ES,28.963,-13.5477,76.98,25,0,11.5,clear sky
252,Lac Du Bonnet,CA,50.2536,-96.0612,19.69,95,100,4.76,overcast clouds
253,Rorvik,NO,64.8621,11.2373,40.98,100,100,6.91,fog
254,Faanui,PF,-16.4833,-151.75,78.28,79,99,7.23,light rain
255,Makhachkala,RU,42.9764,47.5024,44.58,64,12,14.2,few clouds
256,Mana,GF,5.6592,-53.7767,79.36,87,42,12.12,scattered clouds
257,Mungwi,ZM,-10.1732,31.3694,64.18,84,85,3.71,overcast clouds
258,Olinda,BR,-8.0089,-34.8553,80.33,74,75,5.75,broken clouds
259,Grand Gaube,MU,-20.0064,57.6608,72.0,63,30,5.01,scattered clouds
260,Alexandria,EG,31.2156,29.9553,68.2,54,5,9.24,clear sky
261,Porgera,PG,-5.4667,143.2,47.93,94,100,1.23,overcast clouds
262,Moerai,PF,-22.4333,-151.3333,70.23,80,92,9.71,overcast clouds
263,Waharoa,NZ,-37.7667,175.7667,72.75,75,18,7.18,few clouds
264,Talnakh,RU,69.4865,88.3972,-23.64,88,23,4.16,few clouds
265,Kang,BW,-23.6752,22.7876,70.86,60,17,13.58,few clouds
266,Port Elizabeth,ZA,-33.918,25.5701,65.1,82,0,13.8,clear sky
267,Kitimat,CA,54.0524,-128.6534,34.92,28,100,3.09,light rain
268,Tikapur,NP,28.5,81.1333,59.11,67,0,3.18,clear sky
269,Hervey Bay,AU,-25.2986,152.8535,77.14,70,2,5.46,clear sky
270,Mitu,CO,1.1983,-70.1733,79.27,77,100,3.2,overcast clouds
271,Laguna,US,38.421,-121.4238,62.08,50,0,9.22,clear sky
272,Puerto Lopez,CO,4.0845,-72.956,75.96,88,91,4.21,overcast clouds
273,Muroto,JP,33.2833,134.15,61.43,57,97,6.42,overcast clouds
